English-WindowsEditor-5C359797-0-2C829C9E,1,True,1.02,CursorTrejectory
English-WindowsEditor-5C359797-0-2C829C9E,2,True,0.86,CursorTrejectory
English-WindowsEditor-5C381F39-0-FDB67A9,1,True,3.7,CursorTrejectory
English-WindowsEditor-5C381F39-0-FDB67A9,2,True,1.1,CursorTrejectory
English-WindowsEditor-5C3C4762-0-7B85DD2,1,True,0.9,CursorTrejectory
English-WindowsEditor-5C3C4762-0-7B85DD2,2,True,2.04,CursorTrejectory
English-WindowsEditor-5C62274F-0-236E3980,1,True,2.28,CursorTrejectory
English-WindowsEditor-5C62274F-0-236E3980,2,True,0.98,CursorTrejectory
English-WindowsEditor-5C622972-0-2C48583A,1,True,1.54,CursorTrejectory
English-WindowsEditor-5C622972-0-2C48583A,2,True,1.1,CursorTrejectory
English-WindowsEditor-5C622972-0-2C48583A,3,True,1,CursorTrejectory
English-WindowsEditor-5C622972-0-2C48583A,4,True,1.04,CursorTrejectory
English-WindowsEditor-5C622B8F-0-75E178A,1,True,2.2,CursorTrejectory
English-WindowsEditor-5C62311B-0-31EF8CC,1,True,2.56,CursorTrejectory
English-WindowsEditor-5C62319E-0-29A57445,1,True,1.54,CursorTrejectory
English-WindowsEditor-5C62322C-0-20259607,1,True,1.56,CursorTrejectory
English-WindowsEditor-5C62324F-0-11E0FBAE,1,True,1.3,CursorTrejectory
English-WindowsEditor-5C62324F-0-11E0FBAE,2,True,1.08,CursorTrejectory
English-WindowsEditor-5C62324F-0-11E0FBAE,3,True,1.28,CursorTrejectory
English-WindowsEditor-5C62324F-0-11E0FBAE,4,True,1.26,CursorTrejectory
English-WindowsEditor-5C6234B4-0-3955A5EF,1,True,1.78,CursorTrejectory
English-WindowsEditor-5C6234B4-0-3955A5EF,2,True,1.34,CursorTrejectory
English-WindowsEditor-5C623538-0-2B893384,1,True,1.02,CursorTrejectory
English-WindowsEditor-5C623599-0-366909B5,1,True,1.8,CursorTrejectory
English-WindowsEditor-5C623599-0-366909B5,2,True,0.94,CursorTrejectory
English-WindowsEditor-5C623628-0-285C5CDA,1,True,1.12,CursorTrejectory
English-WindowsEditor-5C623628-0-285C5CDA,2,True,0.84,CursorTrejectory
English-WindowsEditor-5C623628-0-285C5CDA,3,True,0.88,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,1,True,0.92,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,2,True,0.9,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,3,True,0.94,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,4,True,0.96,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,5,True,0.86,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,6,True,0.88,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,7,True,1.08,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,8,True,1.14,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,9,True,0.88,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,10,True,0.94,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,11,True,1.08,CursorTrejectory
English-WindowsEditor-5C6237D2-0-327962A7,12,True,0.94,CursorTrejectory
English-WindowsEditor-5C623918-0-7557AA6,1,True,0.98,CursorTrejectory
