
UserID,TrialNumber,TaskTimer,Incorrect Hits,Preset Path Number
English-WindowsEditor-5DC12866-0-11D01E15,3,14.579,4,PathOne (UnityEngine.GameObject),2.792,0.325,0.464,0.667,0.325,1.145,0.368,0.436,0.315,0.735,0.332,0.549,1.206,0.453,0.716,0.426,1.177,0.888,0.31,0.803,0.496,0.497,1.366,0.29,0.29
English-WindowsEditor-5DC12866-0-11D01E15,4,17.071,13,PathTwo (UnityEngine.GameObject),3.025,0.913,0.291,4.768,0.327,0.613,0.307,1.027,0.415,0.515,0.239,0.529,0.77,0.324,0.802,0.378,0.548,0.718,0.551,0.36,0.717,0.175,0.827,0.685,0.274
English-WindowsEditor-5DC128D6-0-37AC55D4,1,11.395,7,PathThree (UnityEngine.GameObject),0,0.448,1.012,0.547,0.512,0.29,0.529,0.652,0.325,0.342,0.359,0.291,0.7,0.77,0.274,0.667,0.361,0.342,0.393,0.378,0.839,0.255,0.41,0.445,0.256
English-WindowsEditor-5DC128D6-0-37AC55D4,2,11.709,7,PathThree (UnityEngine.GameObject),0,0.448,1.012,0.547,0.512,0.29,0.529,0.652,0.325,0.342,0.359,0.291,0.7,0.77,0.274,0.667,0.361,0.342,0.393,0.378,0.839,0.255,0.41,0.445,0.256,0.314
English-WindowsEditor-5DC128D6-0-37AC55D4,3,14.208,6,PathFive (UnityEngine.GameObject),2.711,0.204,0.701,0.394,0.46,0.514,0.308,2.016,0.272,0.479,0.819,1.092,0.869,0.511,0.511,0.375,0.391,0.698,0.393,0.477,0.803,0.445,0.894,0.306,0.274
English-WindowsEditor-5DC128D6-0-37AC55D4,4,12.921,10,PathOne (UnityEngine.GameObject),3.018,0.274,0.41,0.496,0.257,1.232,0.086,0.563,0.309,0.719,0.342,0.785,0.359,0.426,1.112,0.239,1.012,0.514,0.274,0.819,0.513,0.617,0.873,0.324,0.364
English-WindowsEditor-5DC128D6-0-37AC55D4,5,15.274,10,PathTwo (UnityEngine.GameObject),3.028,0.857,0.325,1.918,0.992,0.324,0.36,0.736,0.395,0.255,0.241,0.377,0.531,0.307,1.286,0.359,0.359,0.773,0.808,0.393,0.99,0.341,1.457,0.582,0.307
English-WindowsEditor-5DC128D6-0-37AC55D4,6,13.729,7,PathThree (UnityEngine.GameObject),3.03,0.685,0.996,0.701,0.531,0.394,0.792,0.48,0.391,1.044,0.395,0.292,1.383,0.342,0.342,0.735,0.427,0.377,0.358,0.411,1.043,0.309,0.599,0.394,0.307
English-WindowsEditor-5DC128D6-0-37AC55D4,7,16.687,6,PathFour (UnityEngine.GameObject),3.029,0.342,1.226,0.495,0.513,0.903,0.461,0.311,0.958,0.599,0.717,1.187,2.155,0.429,0.601,0.82,0.29,1.167,0.238,0.594,0.595,0.957,0.205,0.308,0.617
English-WindowsEditor-5DC128D6-0-37AC55D4,8,32.259,10,PathOne (UnityEngine.GameObject),3.019,0.379,0.564,1.125,0.375,2.906,0.36,0.664,0.358,0.785,0.478,9.103,0.737,0.359,1.033,0.325,3.79,2.725,0.324,1.959,1.09,1.554,0.427,0.41,0.428
English-WindowsEditor-5DC128D6-0-37AC55D4,9,18.229,10,PathFive (UnityEngine.GameObject),3.023,0.374,0.614,0.382,0.766,1.35,2.948,1.623,0.396,0.463,0.652,1.127,0.578,0.749,0.648,0.375,0.427,0.646,0.765,0.308,0.496,0.427,1.503,0.425,0.187
English-WindowsEditor-5DC128D6-0-37AC55D4,10,13.738,14,PathTwo (UnityEngine.GameObject),3.02,0.291,0.409,2.644,0.427,0.529,0.459,0.904,0.445,0.41,0.342,0.46,0.426,0.309,0.652,0.274,0.327,0.971,0.376,0.632,0.343,0.379,1.062,0.342,0.324
English-WindowsEditor-5DC1636B-0-1B5A52B0,1,16.618,19,RandomPath (UnityEngine.GameObject),0,1.851,0.387,2.053,0.405,0.587,0.32,1.127,0.439,2.865,0.507,0.473,0.571,0.386,0.37,0.285,0.319,0.639,0.354,0.539,0.388,0.724,0.337,0.388,0.303
